CONARASII;Nombre Comuna;Codigo Tesorería
6104;SAN FRANCISCO DE MOSTAZAL;111
6105;DONIHUE;112
6106;COLTAUCO;113
6107;CODEGUA;110
6108;PEUMO;115
6109;LAS CABRAS;116
6110;SAN VICENTE;117
6111;PICHIDEGUA;118
6112;RENGO;121
6113;REQUINOA;119
6114;OLIVAR;120
6115;MALLOA;122
6116;COINCO;114
6117;QUINTA DE TILCOCO;123
6201;SAN FERNANDO;124
6202;CHIMBARONGO;125
6203;NANCAGUA;126
6204;PLACILLA;127
6205;SANTA CRUZ;128
6206;LOLOL;129
6207;PALMILLA;130
6208;PERALILLO;131
6209;CHEPICA;132
6214;PUMANQUE;135
6301;PICHILEMU;137
6302;NAVIDAD;138
6303;LITUECHE;136
6304;LA ESTRELLA;139
6305;MARCHIGUE;134
6306;PAREDONES;133
7101;CURICO;140
7102;TENO;142
7103;ROMERAL;141
7104;RAUCO;143
7105;LICANTEN;145
7106;VICHUQUEN;146
7107;HUALANE;144
7108;MOLINA;147
7109;SAGRADA FAMILIA;148
7201;TALCA;150
7202;SAN CLEMENTE;151
7203;PELARCO;152
7204;RIO CLARO;149
7205;PENCAHUE;153
7206;MAULE;154
7207;CUREPTO;155
7208;CONSTITUCION;157
7209;EMPEDRADO;158
7210;SAN RAFAEL;341
7301;LINARES;159
7302;YERBAS BUENAS;160
7303;COLBUN;161
7304;LONGAVI;162
7305;PARRAL;164
7306;RETIRO;165
7309;VILLA ALEGRE;163
7310;SAN JAVIER;156
7401;CAUQUENES;166
7402;PELLUHUE;320
7403;CHANCO;167
8101;CHILLAN;168
8102;PINTO;169
8103;COIHUECO;170
8104;QUIRIHUE;172
8105;NINHUE;174
8106;PORTEZUELO;171
8107;COBQUECURA;175
8108;TREHUACO;173
8109;SAN CARLOS;176
8110;NIQUEN;177
8111;SAN FABIAN;178
8112;SAN NICOLAS;179
8113;BULNES;180
8114;SAN IGNACIO;181
8115;QUILLON;182
8116;YUNGAY;183
8117;PEMUCO;184
8118;EL CARMEN;185
8119;RANQUIL;187
8120;COELEMU;186
8121;CHILLAN VIEJO;342
8201;CONCEPCION;188
8202;PENCO;191
8203;HUALQUI;192
8204;FLORIDA;193
8205;TOME;190
8206;TALCAHUANO;189
8207;CORONEL;194
8208;LOTA;195
8209;SANTA JUANA;196
8210;SAN PEDRO DE LA PAZ;343
8211;CHIGUAYANTE;344
8212;HUALPEN;346
8301;ARAUCO;198
8302;CURANILAHUE;197
8303;LEBU;199
8304;LOS ALAMOS;200
8305;CANETE;201
8306;CONTULMO;202
8307;TIRUA;203
8401;LOS ANGELES;204
8402;SANTA BARBARA;205
8403;LAJA;210
8404;QUILLECO;206
8405;NACIMIENTO;212
8406;NEGRETE;213
8407;MULCHEN;214
8408;QUILACO;215
8409;YUMBEL;207
8410;CABRERO;208
8411;SAN ROSENDO;211
8412;TUCAPEL;209
8413;ANTUCO;303
8414;ALTO BIOBIO;349
9101;ANGOL;216
9102;PUREN;217
9103;LOS SAUCES;218
9104;RENAICO;219
9105;COLLIPULLI;220
9106;ERCILLA;221
9107;TRAIGUEN;222
9108;LUMACO;223
9109;VICTORIA;224
9110;CURACAUTIN;225
9111;LONQUIMAY;226
9201;TEMUCO;227
9202;VILCUN;228
9203;FREIRE;229
9204;CUNCO;230
9205;LAUTARO;231
9206;PERQUENCO;233
9207;GALVARINO;232
9208;NUEVA IMPERIAL;234
9209;CARAHUE;235
9210;SAAVEDRA;236
9211;PITRUFQUEN;237
9212;GORBEA;238
9213;TOLTEN;239
9214;LONCOCHE;240
9215;VILLARRICA;241
9216;PUCON;242
9217;MELIPEUCO;304
9218;CURARREHUE;305
9219;TEODORO SCHMIDT;306
9220;PADRE LAS CASAS;345
9221;CHOLCHOL;348
10101;VALDIVIA;243
10102;MARIQUINA;245
10103;LANCO;249
10104;LOS LAGOS;247
10105;FUTRONO;248
10106;CORRAL;244
10107;MAFIL;246
10108;PANGUIPULLI;250
10109;LA UNION;251
10110;PAILLACO;252
10111;RIO BUENO;253
10112;LAGO RANCO;254
10201;OSORNO;255
10202;SAN PABLO;257
10203;PUERTO OCTAY;258
10204;PUYEHUE;256
10205;RIO NEGRO;259
10206;PURRANQUE;260
10207;SAN JUAN DE LA COSTA;307
10301;PUERTO MONTT;261
10302;COCHAMO;262
10303;PUERTO VARAS;266
10304;FRESIA;268
10305;FRUTILLAR;269
10306;LLANQUIHUE;267
10307;MAULLIN;263
10308;LOS MUERMOS;264
10309;CALBUCO;265
10401;CASTRO;270
10402;CHONCHI;271
10403;QUEILEN;272
10404;QUELLON;273
10405;PUQUELDON;274
10406;ANCUD;277
10407;QUEMCHI;278
10408;DALCAHUE;279
10410;CURACO DE VELEZ;276
10415;QUINCHAO;275
10501;CHAITEN;280
10502;HUALAIHUE;308
10503;FUTALEUFU;281
10504;PALENA;282
11101;AYSEN;285
11102;CISNES;286
11104;GUAITECAS;309
11201;CHILE CHICO;287
11203;RIO IBANEZ;288
11301;COCHRANE;289
11302;OHIGGINS;310
11303;TORTEL;311
11401;COYHAIQUE;284
11402;LAGO VERDE;312
12101;NATALES;291
12103;TORRES DEL PAINE;313
12202;RIO VERDE;314
12204;SAN GREGORIO;315
12205;PUNTA ARENAS;290
12206;LAGUNA BLANCA;316
12301;PORVENIR;292
12302;PRIMAVERA;317
12304;TIMAUKEL;318
12401;CABO DE HORNOS;319
13101;SANTIAGO;70
13134;SANTIAGO OESTE;73
13135;SANTIAGO SUR;84
13159;RECOLETA;329
13167;INDEPENDENCIA;330
14107;QUINTA NORMAL;81
14109;MAIPU;94
14111;PUDAHUEL;82
14113;RENCA;77
14114;QUILICURA;79
14127;CONCHALI;75
14155;LO PRADO;325
14156;CERRO NAVIA;324
14157;ESTACION CENTRAL;328
14158;HUECHURABA;334
14166;CERRILLOS;333
14201;COLINA;76
14202;LAMPA;78
14203;TIL-TIL;80
14501;TALAGANTE;86
14502;ISLA DE MAIPO;87
14503;EL MONTE;89
14504;PENAFLOR;85
14505;PADRE HURTADO;339
14601;MELIPILLA;88
14602;MARIA PINTO;90
14603;CURACAVI;83
14604;SAN PEDRO;108
14605;ALHUE;109
15103;PROVIDENCIA;72
15105;NUNOA;91
15108;LAS CONDES;71
15128;LA FLORIDA;93
15132;LA REINA;92
15151;MACUL;323
15152;PENALOLEN;322
15160;VITACURA;331
15161;LO BARNECHEA;332
16106;SAN MIGUEL;95
16110;LA CISTERNA;96
16131;LA GRANJA;97
16153;SAN RAMON;326
16154;LA PINTANA;327
16162;PEDRO AGUIRRE CERDA;336
16163;SAN JOAQUIN;335
16164;LO ESPEJO;337
16165;EL BOSQUE;338
16301;PUENTE ALTO;100
16302;PIRQUE;101
16303;SAN JOSE DE MAIPO;102
16401;SAN BERNARDO;98
16402;CALERA DE TANGO;99
16403;BUIN;103
16404;PAINE;104
